hypothesisnum	firstsim	secondsim	distractor
63	inu.30000007060282|Wimsey	mdp.39015061868363|MissMarple	mdp.39015061868363|MarinaGregg
64	mdp.39015061868363|MissMarple	uc1.32106006434416|Mr.Wolfe	uc1.32106006434416|Mr.Boone
65	11031_Holmes	uc1.32106006434416|Mr.Wolfe	uc1.32106006434416|Kates
66 	mdp.39015001153629|LordEdgware	uc1.32106006434416|Mr.Boone	mdp.39015001153629|JaneWilkinson
67	mdp.39015008439856|McMurdo	inu.30000007060282|PhilipBoyes	inu.30000007060282|HarrietVane
68	uc1.32106006434416|Kates	inu.30000007060282|Mr.Urquhart	uc1.32106006434416|Mr.Wolfe
69	mdp.39015031600409|Carmen	mdp.39015061868363|MarinaGregg	mdp.39015061868363|MissMarple
70	mdp.39015022095585|Tom	mdp.39015026884190|Jurgis	mdp.39015026884190|Durham
71	mdp.39015026884190|Ona	inu.30000035415862|Selena	inu.30000035415862|Constance
72	11109|Trilby	2655|Sibyl	2655|LordHenry
73	inu.30000035415862|Dr.Swain	uc1.b4384804|Dr.Neal	uc1.32106006434416|Kates
74	mdp.39015005776847|Wade	mdp.39015022095585|Ruthie	mdp.39015005776847|AuntPittypat
75	13798_I	7422_Oliver	13798_MissHavisham
76	13798_I	7422_Oliver	966_I
77	12985_I	12449_Waverley	12985_Rashleigh
78	3343_I	5819_Huck	5819_Tom
79	14240_Silas	14796_Montoni*	14796_Valancourt
80	10651_Elizabeth	osu.32435083797019|Venetia	10651_Wickham
81	5819_Huck	mdp.39015022095585|Ruthie	2655|LordHenry
82	7422_Sikes	inu.30000035415862|Lucas	9583_Deronda
83	mdp.39015008850250|Jenny	1516_Elinor	mdp.39015031600409|Carmen
84	mdp.39015038927201|Faramir	5854|Richard	nyp.33433076067192|Tull









	


	
